Zip,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
33125,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,1150.0,1200.0,1100.0,1100.0,1199.0,1274.5,1300.0,1299.0,1350.0,1350.0,1300.0,1250.0,1300.0,1300.0,1300.0,1287.5,1324.5,1375.0,1387.5,1400.0,1350.0,1300.0,1362.5,1500.0,1475.0,1300.0,1300.0,1350.0,1250.0,1275.0,1300.0,1300.0,1325.0,1312.5,1325.0,1375.0,1350.0,1350.0,1350.0,1350.0,1375.0,1400.0,1275.0,1425.0,1475.0,1437.5,1500.0,1750.0,1750.0,1600.0,1500.0,1575.0,1525.0,1500.0,1537.5,1600.0,1600.0,1600.0,1550.0,1750.0,1750.0,1797.5,1600.0,1650.0,1682.5,1735.0,1687.5,1725.0,1700.0,1750.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1637.5,1600.0,1600.0,1575.0,1500.0,1500.0
33126,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1225.0,1300.0,1300.0,1250.0,1287.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1338.0,1350.0,1325.0,1300.0,1300.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1395.0,1400.0,1395.0,1400.0,1400.0,1400.0,1400.0,1397.5,1375.0,1350.0,1350.0,1400.0,1400.0,1400.0,1400.0,1425.0,1450.0,1450.0,1485.0,1450.0,1500.0,1450.0,1450.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1599.0,1500.0,1550.0,1500.0,1550.0,1575.0,1500.0,1550.0,1595.0,1550.0,1587.0,1600.0,1600.0,1600.0,1621.0,1637.0,1650.0,1600.0,1600.0,1600.0,1640.0,1650.0
33130,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,2244.0,2244.0,2250.0,2200.0,2200.0,2200.0,2200.0,2200.0,2290.0,2300.0,2300.0,2300.0,2350.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2350.0,2400.0,2450.0,2445.0,2450.0,2500.0,2500.0,2450.0,2500.0,2450.0,2450.0,2450.0,2450.0,2495.0,2499.0,2500.0,2400.0,2500.0,2500.0,2495.0,2400.0,2400.0,2500.0,2500.0,2650.0,2700.0,2700.0,2750.0,2700.5,2700.0,2650.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2550.0,2595.0,2500.0,2550.0,2500.0,2600.0,2600.0,2600.0,2600.0,2600.0,2650.0,2695.0,2700.0,2700.0,2614.0,2600.0,2609.0,2614.0,2798.0,2737.5
33131,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2500.0,2462.5,2462.5,2590.0,2500.0,2425.0,2350.0,2400.0,2500.0,2500.0,2500.0,2600.0,2550.0,2700.0,2700.0,2700.0,2600.0,2600.0,2600.0,2650.0,2650.0,2700.0,2700.0,2750.0,2900.0,2790.0,2750.0,2600.0,2650.0,2700.0,2800.0,2800.0,2725.0,2700.0,2700.0,2750.0,2800.0,2800.0,2700.0,2700.0,2800.0,2700.0,2700.0,2700.0,2850.0,2850.0,2850.0,2900.0,2925.0,2875.0,2800.0,2800.0,2800.0,2800.0,2850.0,2800.0,2885.0,2820.0,3000.0,2950.0,2900.0,2900.0,2850.0,2850.0,2900.0,2950.0,2950.0,2850.0,2800.0,2950.0,2850.0,2900.0,3000.0,2800.0,2950.0,2900.0,2900.0,2868.0,2900.0,2900.0,2850.0,2866.5,2904.0,2958.0,2900.0,2875.0,2850.0,2890.0,2900.0,2850.0,2850.0
33133,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2200.0,2050.0,2200.0,2290.0,2150.0,2300.0,2200.0,2050.0,2100.0,2375.0,2500.0,2500.0,2325.0,2362.5,2300.0,2050.0,2000.0,2150.0,2000.0,1900.0,2050.0,2100.0,2200.0,2200.0,2200.0,2400.0,2300.0,2200.0,2450.0,2500.0,2400.0,2200.0,2200.0,2290.0,2350.0,2300.0,2500.0,2300.0,2299.0,2400.0,2300.0,2300.0,2390.0,2300.0,2390.0,2397.5,2500.0,2450.0,2325.0,2350.0,2395.0,2300.0,2197.5,2200.0,2300.0,2350.0,2400.0,2325.0,2390.0,2650.0,2600.0,2500.0,2500.0,2662.0,2300.0,2340.0,2390.0,2460.0,2460.0,2457.5,2390.0,2460.0,2749.0,2500.0,2450.0,2500.0,2285.0,2275.0,2300.0,2400.0,2541.0,2600.0,2500.0,2450.0,2390.0,2390.0,2392.5,2400.0,2467.5,2406.0,2400.0
33135,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,1600.0,1600.0,1650.0,1700.0,1700.0,1700.0,1650.0,1890.0,1950.0,1899.0,1800.0,1800.0,1980.0,1841.5
33138,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1650.0,1650.0,1695.0,1600.0,1725.0,1700.0,1687.5,1600.0,1675.0,1650.0,1700.0,1737.5,1750.0,1750.0,1750.0,1800.0,1850.0,1887.5,1800.0,1750.0,1750.0,1800.0,1850.0,1795.0,1737.5,1850.0,1850.0,1800.0,1900.0,1900.0,1900.0,1875.0,1875.0,1895.0,1895.0,1950.0,1900.0,1950.0,2000.0,2000.0,2000.0,1950.0,1950.0,1925.0,2000.0,2112.5,2100.0,2100.0,2000.0,2100.0,2300.0,2400.0,2395.0,2300.0,2250.0,2100.0,2200.0,2200.0,2200.0,2200.0,2125.0,2150.0,2250.0,2200.0,2150.0,2175.0,2150.0,2395.0,2200.0,2100.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2400.0,2282.5,2242.5,2215.0,2300.0,2200.0,2175.0,2150.0,2175.0,2195.0,2150.0
33137,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1855.0,1850.0,1860.0,1925.0,1950.0,1925.0,2000.0,1975.0,1975.0,1975.0,1975.0,1962.5,2100.0,2200.0,2300.0,2200.0,2250.0,2200.0,2250.0,2300.0,2300.0,2350.0,2300.0,2300.0,2350.0,2300.0,2400.0,2400.0,2499.0,2500.0,2500.0,2500.0,2550.0,2565.0,2600.0,2600.0,2500.0,2500.0,2500.0,2500.0,2582.5,2500.0,2450.0,2500.0,2500.0,2505.0,2500.0,2500.0,2500.0,2600.0,2600.0,2600.0,2550.0,2700.0,2750.0,2750.0,2800.0,2800.0,2900.0,2950.0,2900.0,2900.0,2900.0,2800.0,2737.5,2800.0,2650.0,2762.5,2700.0,2700.0,2700.0,2700.0,2700.0,2721.5,2800.0,2850.0,2850.0,2846.0,2800.0,2900.0,2900.0,2900.0,2850.0,2800.0,2800.0,2865.0,2900.0
33145,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1600.0,1650.0,1697.5,1700.0,1700.0,1700.0,1780.0,1780.0,1780.0,1750.0,1697.5,1700.0,1750.0,1700.0,1750.0,1750.0,1750.0,1799.0,1900.0,1895.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1850.0,1900.0,1900.0,1900.0,1950.0,1950.0,1950.0,1950.0,1997.5,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2100.0,2000.0,2000.0,2000.0,2000.0,2100.0,2050.0,2050.0,2000.0,2000.0,2000.0,2037.5,2200.0,2200.0,2242.5,2150.0,2150.0,2200.0,2200.0,2150.0,2150.0,2205.0,2100.0,2000.0,2100.0,2000.0,2000.0,2000.0,2000.0,2000.0,1982.5,2000.0,2000.0,2200.0,2200.0,2200.0,2175.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
33127,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0,1712.5,1700.0,1780.0,1745.0,1662.5,1800.0,1800.0,1700.0,1699.5,1750.0
33129,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,1935.0,2000.0,2015.0,2099.0,2200.0,2200.0,2300.0,2147.5,2297.5,2150.0,2169.0,2200.0,2200.0,2125.0,2189.0,2237.5,2225.0,2400.0,2400.0,2312.5,2339.5,2204.5,2200.0,2200.0,2200.0,2225.0,2200.0,2200.0,2400.0,2500.0,2600.0,2550.0,2450.0,2500.0,2500.0,2524.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2502.0,2400.0,2500.0,2400.0,2600.0,2537.5,2500.0,2500.0,2400.0,2450.0,2450.0,2514.0,2650.0,2559.0,2532.0,2500.0,2514.0,2600.0,2625.0,2650.0,2600.0,2700.0,2600.0,2600.0,2550.0,2597.5,2550.0,2550.0,2600.0,2550.0,2500.0,2504.0,2600.0,2559.0,2600.0,2500.0,2579.5,2600.0,2500.0,2500.0,2400.0,2500.0,2499.0,2504.0,2550.0,2500.0,2600.0
33132,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2700.0,2600.0,2625.0,2525.0,2500.0,2500.0,2500.0,2375.0,2450.0,2500.0,2500.0,2550.0,2600.0,2600.0,2600.0,2500.0,2600.0,2600.0,2600.0,2650.0,2685.0,2700.0,2750.0,2700.0,2700.0,2750.0,2700.0,2800.0,2800.0,2850.0,2850.0,2850.0,2800.0,2800.0,2700.5,2750.0,2800.0,2800.0,2750.0,2750.0,2800.0,2750.0,2797.5,2750.0,2990.0,2950.0,2900.0,2900.0,2850.0,2700.0,2650.0,2650.0,2695.0,2600.0,2700.0,2995.0,3000.0,3000.0,3000.0,3000.0,2995.0,2962.5,3000.0,3000.0,3000.0,2925.0,2900.0,2900.0,2800.0,2900.0,2800.0,2800.0,2815.0,2795.0,2900.0,2700.0,2700.0,2750.0,2800.0,2800.0,2799.0,2800.0,2800.0,2900.0,2900.0,2850.0,2800.0,2800.0,2897.0,2850.0,2850.0
33136,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1800.0,1850.0,1850.0,1800.0,1800.0,1850.0,1765.0,1850.0,1850.0,1850.0,1757.5,1750.0,1900.0
