Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Highland Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000.0,135999.5,130000.0,120000.0,120000.0,139000.0,139000.0,137950.0,129900.0,130000.0,135000.0,129350.0,128800.0,133500.0,130999.5,130000.0,136000.0,139000.0,136000.0,137750.0,140500.0,140500.0,141500.0,147000.0,144900.0,141250.0,135000.0
Prospect Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109950.0,104950.0,94950.0,89900.0,93450.0,105000.0,99900.0,99500.0,99900.0,102445.0,104950.0,95999.0,94750.0,91750.0,91500.0,99450.0,95000.0,84000.0,87499.0,94250.0,94450.0,94000.0,95000.0
People Active in Community Effort,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146200.0,141799.5,147400.0,128000.0,139900.0,155000.0,151700.0,155000.0,158450.0,159999.0,159999.0,168200.0,169999.0,170499.0,171749.0,173000.0,173999.0,175249.5,181400.0,179999.0,176999.0,176999.0,175000.0,176999.0,175000.0,169900.0,175999.0,177999.0,177499.0,179999.0,178499.5,175000.0,178500.0,179249.5,178499.0,181499.0
Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500.0,218000.0,225000.0,222500.0,221200.0,221250.0,202500.0,225000.0,239950.0,245000.0,239950.0,241000.0,235000.0,264900.0,263950.0,269999.0,259000.0,239900.0,236950.0,224445.0,239000.0,239900.0,229900.0,239900.0
Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158950.0,167000.0,179900.0,175900.0,171200.0,173000.0,168500.0,179000.0,189950.0,188500.0,183900.0,189000.0,181400.0,194900.0,204979.0,199979.0,204950.0,199900.0,189250.0,191450.0,188000.0,192000.0,192000.0,199900.0,195950.0,199000.0,202500.0,205000.0,205000.0,199900.0,199900.0,199900.0,201000.0,216950.0,219000.0,211499.5,199900.0,204000.0,211750.0,211750.0,207450.0,209000.0,209500.0,206950.0,206750.0,206500.0,200000.0
Heritage,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164998.5,165000.0,159948.5,157750.0,158750.0,160000.0,164995.0,163500.0,166464.0,179000.0,179500.0,169750.0,165000.0,159950.0,165000.0,164900.0,163450.0,160000.0,160000.0,171950.0,174000.0,175000.0,177450.0,175000.0,175000.0,182999.0,183499.0,186999.0,187999.0
Great Northwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000.0,168000.0,159450.0,159950.0,165000.0,153944.0,158250.0,149900.0,162500.0,162500.0,162500.0,160000.0,164900.0,165000.0,167000.0,167750.0,168900.0,166000.0,167499.5,164999.0,166000.0,169970.0,171000.0,171500.0,174950.0,175000.0,176000.0,175000.0,175000.0,180000.0,175000.0,175000.0,177900.0,174000.0,181450.0,180000.0
Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,245000.0,239900.0,250000.0,249900.0,250000.0,240000.0,249950.0,249950.0,249950.0,249900.0,249900.0,252000.0,246000.0,239900.0,243700.0,246249.5,239340.5,239800.0,247500.0,239990.0,244000.0,236900.0,239450.0,245450.0,237000.0,229950.0,229450.0,239000.0,239990.0,245000.0,249900.0,239900.0,245450.0,239700.0,239950.0,244900.0,247450.0,250000.0,258997.5,269500.0,258675.0,259500.0,259000.0,262500.0,260000.0,249250.0,254500.0,295000.0,309000.0,294999.0,269950.0,264000.0,265000.0,268500.0,274950.0,274450.0,268000.0,269900.0,267500.0,294950.0,289900.0,286500.0,296000.0,305000.0,299949.5,315000.0,292500.0,284950.0,278000.0,284250.0,284000.0,284000.0,299900.0,323099.5,305490.0,307000.0,299900.0,290000.0,319900.0,319900.0,318450.0,303748.0,310000.0,319000.0,325000.0,329900.0,319900.0,349450.0,348990.0,335000.0,334500.0,335000.0,324900.0,325445.0,328000.0,311500.0,300000.0,302500.0,299000.0,302950.0,309900.0,329900.0,317200.0,314000.0,292000.0,299000.0,309900.0,298000.0,285000.0,299900.0,319881.0,320000.0,319000.0,315000.0,309000.0,309000.0,309850.0,299000.0,298250.0,295000.0
Northwest Crossing,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169500.0,170000.0,165000.0,174900.0,170000.0,170000.0,174900.0,167000.0,169500.0,169000.0,169500.0,170000.0,170000.0,169500.0,169000.0,175500.0,175000.0,175000.0,176750.0,194950.0,199200.0,191500.0,185000.0,185000.0,175000.0,175000.0,175000.0,175000.0,175000.0
Highland Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000.0,147999.0,149950.0,155000.0,149450.0,150000.0,171500.0,179900.0,177450.0,175000.0,179900.0,182000.0,179200.0,155000.0,172400.0,179950.0,166999.5,164000.0,175000.0,179900.0
Shearer Hills - Ridgeview,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183250.0,194900.0,191000.0,194750.0,199250.0,205000.0,194000.0,186250.0,192000.0,192713.5,199950.0,190000.0,200000.0,214900.0,219500.0,215000.0,214900.0,199900.0,197500.0,197750.0,199900.0,199500.0,215000.0,219146.0,219900.0,225000.0,224900.0
Los Angeles Heights - Keystone,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156950.0,155000.0,160000.0,162000.0,159700.0,159200.0,159500.0,159947.5,157825.0,158900.0,159900.0,164825.0,174000.0,174950.0,174900.0,159900.0,159950.0,158450.0,159975.0,149999.5,152499.5,157500.0
Oak Park - Northwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,259250.0,249450.0,276950.0,279950.0,269900.0,279900.0,284500.0,279900.0,284000.0,279700.0,275000.0,269000.0,274900.0,265000.0,268500.0,265500.0,271950.0,259500.0,281000.0,279450.0,265000.0,245000.0,239500.0,248000.0,242450.0,250000.0,244450.0,265000.0,259000.0,259900.0,275000.0,265000.0,265000.0,264950.0,264900.0,261950.0,250000.0,250000.0,275000.0,261950.0,304900.0,316073.0,289450.0,295950.0,325000.0,329400.0,289000.0,298500.0,279000.0,282200.0,319900.0,339000.0,339900.0,349000.0,325000.0,339900.0,367450.0,374950.0,363950.0,368000.0,350000.0,346250.0,350000.0,349950.0,355000.0,399450.0,389000.0,382445.0,404990.0,399900.0,399900.0,393990.0,386562.5,399900.0,399900.0,399900.0,395000.0,386200.0,379000.0,385000.0,379000.0,375000.0,399450.0,449000.0,444000.0,399900.0,425000.0,399900.0,379000.0,384495.0,392500.0,379000.0,379000.0,375000.0,375000.0,365000.0,365000.0,369000.0,365000.0,385000.0,393000.0,389500.0,393000.0,399000.0,389900.0,399700.0,399999.0,397450.0,395000.0,392000.0,394000.0,396500.0,399950.0,417500.0,412900.0,392450.0,389000.0,389950.0,375000.0,384950.0
Greater Harmony Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900.0,287900.0,267250.0,249900.0,249900.0,240000.0,219950.0,219900.0,249000.0,239500.0,248000.0,249950.0,266000.0,279500.0,270000.0,264900.0,269900.0
Sunrise Neighborhood Coalition,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134000.0,125000.0,119500.0,119500.0,129900.0,126500.0,135000.0,135000.0,139900.0,135000.0,130000.0,130000.0,135249.5,137450.0,128000.0,117500.0,125500.0,138200.0,134999.0,135000.0,133000.0,135000.0,135997.0
Jefferson-Woodlawn Lake,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247138.5,247138.5,239466.5,239933.0,237500.0,225000.0,225000.0,229000.0,229000.0,227000.0,229000.0,232000.0
Sonterra-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,325000.0,325000.0,309900.0,310000.0,302350.0,315000.0,337750.0,332000.0,327250.0,335000.0,341500.0,344950.0,350000.0,359000.0,350000.0,345000.0,329418.5,329837.0,335000.0,331900.0,339500.0,329837.0,324846.5,327000.0,321846.5,319900.0,314900.0,307400.0,304900.0,325000.0,299000.0,319000.0,319900.0,319900.0,319400.0,354500.0,349000.0,357000.0,319900.0,355000.0,334900.0,334900.0,334999.0,362500.0,334999.0,347000.0,335000.0,319999.0,329000.0,339000.0,351247.5,399000.0,449000.0,399000.0,375000.0,345000.0,364900.0,379900.0,369900.0,389450.0,376950.0,362495.0,364945.0,354950.0,349450.0,349000.0,349950.0,350000.0,350000.0,347990.0,354995.0,349900.0,343945.0,337450.0,339900.0,339900.0,348750.0,359700.0,372445.0,379000.0,365000.0,367000.0,360000.0,373500.0,373500.0,359900.0,369500.0,399500.0,402500.0,399000.0,399000.0,385000.0,380000.0,369000.0,369750.0,369500.0,368750.0,370000.0,380500.0,370000.0,349000.0,360000.0,379000.0,389700.0,399000.0,377000.0,399000.0,406750.0,407250.0,420000.0,374950.0,398000.0,389950.0,399900.0,397450.0,389000.0,390000.0,409750.0,398479.0,399500.0
Harvard Place - Eastlawn,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142500.0,141150.0,129900.0,115000.0,121900.0,130000.0,139900.0,149900.0,149900.0,149900.0,139900.0,144900.0
Monte Vista,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513450.0,599000.0,690000.0,689500.0,649900.0,649900.0,607200.0,599000.0,612250.0,589900.0,539450.0,574750.0,582250.0,549000.0,605000.0,710000.0,679900.0,674900.0,725000.0,790000.0,725000.0,636500.0,662500.0,649950.0,650000.0,635000.0,539000.0,539000.0,547450.0,547450.0,565000.0,565000.0,582000.0,550000.0
Tobin Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436800.0,419650.0,399000.0,409500.0,399999.0,427500.0,397499.5,379000.0,382000.0,385000.0,389500.0,385000.0,430000.0,375000.0,385000.0,399500.0,397000.0,390000.0,385000.0,384999.5,398000.0,434750.0,430000.0
Friedrich Wilderness Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399500.0,429000.0,445700.0,457500.0,464450.0,439450.0,415000.0,398000.0,398500.0,399500.0,449900.0,476950.0,462400.0,465000.0,446500.0,459500.0,443200.0,441200.0,419000.0,437000.0,418000.0,419900.0,431450.0,452900.0,460000.0,452450.0,439900.0,444900.0,449900.0,454900.0,434900.0,434900.0,454450.0,439900.0,431445.0
Dignowity Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900.0,256000.0,265500.0,261000.0,260975.0,260975.0,259000.0,259450.0,253500.0,259900.0,275000.0,265000.0,279000.0,285000.0,299450.0,264950.0,257450.0,253950.0,283500.0,275000.0,270000.0,265000.0,275000.0,322450.0,330000.0,319000.0,300000.0,282500.0,270000.0,284000.0,285500.0
The Dominion,San Antonio,TX,San Antonio-New Braunfels,Bexar County,749000.0,749900.0,695000.0,662500.0,687000.0,699900.0,729000.0,714450.0,729000.0,696997.5,692450.0,675000.0,675000.0,668997.5,668997.5,662499.5,666497.5,649995.0,649000.0,630000.0,650000.0,649000.0,639000.0,617500.0,605895.0,599950.0,598750.0,599000.0,597400.0,565995.0,607995.0,599000.0,579000.0,579000.0,594700.0,579900.0,569900.0,550000.0,543447.5,544900.0,549500.0,571593.5,575000.0,587000.0,595000.0,599450.0,612995.0,624900.0,574945.0,569000.0,571995.0,584500.0,589000.0,589000.0,579900.0,569497.5,569995.0,591960.0,573497.5,569000.0,580992.5,567995.0,576492.5,567247.5,584900.0,589995.0,594995.0,594990.0,579000.0,600000.0,599900.0,564990.0,598450.0,589450.0,607606.0,575000.0,635000.0,669000.0,649000.0,615606.0,647500.0,650000.0,649950.0,639000.0,647500.0,647500.0,698000.0,699000.0,744000.0,734450.0,739000.0,729450.0,849500.0,849950.0,859950.0,879250.0,872500.0,875000.0,869999.0,799450.0,799000.0,789700.0,750000.0,749950.0,749900.0,749950.0,750900.0,750000.0,750000.0,750000.0,749900.0,750000.0,749900.0,749450.0,749000.0,749450.0,749450.0,729000.0,705000.0,729000.0
