Neighborhood,city,state,metro,county,rent_1br_monthly,rent_1br_sqft,buy_home,buy_home_sqft,rent_2br_monthly,rent_2br_sqft,rent_sf_monthly,rent_sf_sqft,price_rent_ratio,pct_price_reduction_homes,median_pct_price_reduction_homes,pct_home_increasing_in_values,pct_home_decreasing_in_values
Woodridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.06,,,51.02,47.54
Arena District,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.79,,,,
Promontory Pointe-Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.96,,,25.43,73.9
Hillcrest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,68.5,,,,
Eastwood Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.63,,,96.23,3.27
East Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.14,,,98.91,0.87
Fieldstone,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.51,,,,
Creekview Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.93,,,,
Dellcrest Forrest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,27.87,,,,
Artesia Community Guild,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.25,,,,
Southeast Citizens Committee-Highland Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.52,,,,
Tezel Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.61,,,,
Oxbow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.81,,,95.94,3.97
Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.84,,,0.42,99.58
Vista Del Norte,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.94,,,,
Gardens at Brookhollow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.24,,,,
Woodmont,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,23.62,,,,
Encino Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.54,,,3.16,96.36
Tanglewood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.99,,,82.6,16.21
Oak Meadow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.43,,,0.45,99.55
Huntington Place,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.86,,,17.53,80.38
Preston Hollow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.84,,,,
Valley Hi North,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.8,,,,
Stablewood-Valley Hi North,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.34,,,,
Valencia,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.56,,,72.92,24.82
Misty Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.76,,,16.78,82.09
Wildwood West,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.44,,,,
Guilbeau Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.4,,,57.98,40.99
Bluffview at Camino Real,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.24,,,1.12,98.88
Olmos Park Terrace,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.88,,,,
Arbor at Sonoma Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.94,,,54.94,43.09
Inspiration Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,65.76,,,,
Jefferson-Monticello Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.67,,,,
Village North One,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,19.35,,,,
Hunters Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.8,,,19.47,78.88
Woodbridge at Monte Viejo,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.05,,,77.33,21.28
Woods of Shavano,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.62,,,2.69,96.83
Elm Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.72,,,5.28,94.37
Overlook of Carriage Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.07,,,,
North Shearer Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.58,,,,
General Krueger,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,23.76,,,88.15,10.9
Brady Gardens,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.99,,,97.88,1.93
Canyon View,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.69,,,,
Gold Canyon,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.58,,,,
Redland Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.07,,,,
Northchase,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.35,,,,
Wheatley Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,26.19,,,,
Oak Haven Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.2,,,,
Westwood Village I,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,29.77,,,,
Inwood Homeowners,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.19,,,,
Castle Hills Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.85,,,10.14,89.12
Whispering Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.24,,,70.83,27.28
Coliseum-Willow Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,22.29,,,,
Rolling Ridge Club,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.8,,,,
King William,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.41,,,17.2,82.24
Eastgate,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.98,,,,
Braun Station East,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.08,,,0.34,99.33
El Chaparral Fertile Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.14,,,,
Crown Meadows,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.0,,,,
Villas of Babcock (Summerwind),San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.07,,,,
Oakmont Downs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.48,,,,
Five Points,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.01,,,,
Lower Southeast Side,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,18.28,,,,
Green Spring Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.61,,,16.73,83.27
Arboretum,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.86,,,,
Property Owners of Apple Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.3,,,,
MacArthur Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.82,,,,
Eckhert Crossing,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.85,,,,
Stone Oak Communities of Mutual Amenities-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.6,,,11.39,87.97
Hidden Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.09,,,18.37,79.24
Santa Fe Trails,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.6,,,,
Greystone Country Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.7,,,,
Ridgestone,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.34,,,8.9,90.35
San Antonio Remington Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.09,,,,
Park Place,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.87,,,,
The Vineyard,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.7,,,16.7,82.28
Culebra Park-Third World,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,25.63,,,,
Champions Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.85,,,,
Randolph Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.71,,,,
Redland Woods,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.86,,,14.29,85.71
Park Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.54,,,,
Silverbrook,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.01,,,,
The Oaks-Oak Park - Northwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,109.61,,,,
Big Springs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.95,,,,
Woodglen,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.54,,,,
Crownhill Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.93,,,,
United Homeowners,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,20.4,,,,
Knollcreek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.01,,,17.8,80.8
Enchanted Village - Greater Harmony Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.63,,,,
Bel Meade Homes Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.68,,,,
Crownridge of Texas Owners Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.05,,,,
Mission Trace-Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.58,,,,
Southeast Side,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,17.38,,,,
Emerald Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.92,,,,
French Creek Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.05,,,,
Woodlands of Camino Real,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.43,,,,
North Central Heritage,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.41,,,,
Vista,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.08,,,57.93,37.56
Blossom Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.8,,,,
Fox Run,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.55,,,,
Mission Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,2.96,,,,
Encino Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.16,,,,
Trophy Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.35,,,,
Braun Willow Unit2,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.44,,,,
Hunters Mill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.04,,,,
Lafayette Place,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.3,,,,
Braun Hollow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.76,,,,
People Active in Community Effort-Valley Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,24.99,,,,
Deer Hollow,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.44,,,,
The Villas of Spring Creek HOA,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.13,,,,
165 Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.56,,,,
Oak Bluff,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.46,,,,
Alamo Farmsteads-Babcock Road-Owners Association of Westfie,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.08,,,,
The Seventh at Sonterra-The Vineyard,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,7.01,,,,
Ridgehaven Volunteer,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.38,,,,
Woller Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,21.94,,,,
Eden Roc Maintenance Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.92,,,,
The Park at Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,1.96,,,,
Jade Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,4.38,,,,
River Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,6.84,,,,
Countryside San Pedro,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.79,,,,
Shavano Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,3.1,,,,
Provincia Villas,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.49,,,,
The Bluffs of Henderson Pass,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,16.01,,,,
Lindsey Place,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.27,,,,
Northern Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.53,,,,
Longs Ridge,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,9.33,,,,
San Antonio St. James Place,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,10.83,,,,
Towne Lake Garden,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,11.52,,,,
Canyon Creek Bluffs,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.72,,,,
Historic Gardens,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,14.33,,,,
Encino Bluff,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,8.34,,,,
Perrin Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,15.02,,,,
145 Association,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,12.46,,,,
Canyon Creek Village,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.03,,,,
Vistas of Encino Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,5.97,,,,
Solana Ridge Homeowners - People Active in Community Effort,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,13.24,,,,
The Overlook,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Steeplebrook,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Walden Meadows-Crownridge of Texas,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Mountain View Acres,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Mesa Vista-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Cavalo Creek Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Canyon Creek Estates,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Churchill Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
The Springs at Stone Oak-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Verde Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
The Heights at Stone Oak II,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Cadillac Drive,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Hein-Orchard,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
McCreless Meadows,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Pecan Valley Park Estates-Pecan Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Forests at Inwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Ridge at Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Shavano Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Village at Rustic Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Pembroke Farms-Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Villas at Redland Ranch,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
The Waters at Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Scattered Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Villas de Esperanza,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Sonterra Villas Townhome Condominium-Sonterra-Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Hill Country Villas,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Bitters Enclave,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Bluff Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Wellsprings-Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Shavano Garden Homes,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Hunters Brook-Hunters Chase II,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Villa De San Antonio,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Oak Valley,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Royal View,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Hampshire House,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Westfort Alliance,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Forest Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
East Pyron - Symphony Lane-Mission San Jose,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Los Angeles Heights - Keystone-Northwest Los Angeles Height,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
The Fountains at Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Woods of Deerfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Tezel Trails,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Castle Wood Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Stone Wood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Coliseum Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Highland Forest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
San Antonio Tierra Del Sol,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Owners Association of Westfield,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Jefferson-Monticello Park-Woodlawn Lake,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Encino Creek,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Wilderness Pointe,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Crestlake,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Sierra Vista,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Stone Oak Meadows,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Stone Oak Parke,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
Auburn Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,
