Neighborhood,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Capitol Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3553162853297405,2.17882938978829,2.15554806828392,2.10714285714286,2.2863654467407204,2.30510265700483,2.44379672810719,2.39670359438746,2.3487627018334103,2.32072072072072,2.31951733710455,2.3636363636363598,2.38269794721408,2.3183139534883703,2.35209720372836,2.58597883597884,2.7860394537177497,2.81183352473136,2.78993687522111,2.72670714408003,2.6746456158220897,2.6530612244897998,2.68514562415438,2.67370215959135,2.71336519548946,2.76153846153846,2.7860394537177497,2.7879126270391397,2.80328697850822,2.80918898296256,2.8129395218002795,2.7935838150289,2.78587686971602,2.75855844051857,2.7569060773480696,2.7119999999999997,2.83095165848015,2.8464463840398997,2.8428927680798,2.93255131964809,2.88582677165354,2.7624309392265203,2.93100411039342,2.8616806722689105,2.91183035714286,2.91423001949318,2.91423001949318,2.89710144927536,2.84551630434783,2.86764705882353,2.95020522247123,3.0421313838750805,3.13851761846902,3.2402090597372095,3.1813627254509003,3.1481481481481497,3.10906515580737,3.03973509933775,3.02196764109787,3.00976138828633,2.9894179894179906,3.0147710487444597
University District,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59585492227979,2.6525054466230897,2.54032258064516,2.7375,2.76610644257703,2.7700604762978,2.66129032258065,2.65555555555556,2.65866013071895,2.65957446808511,2.8954802259887003,2.75862068965517,2.7531645569620298,2.63201320132013,2.52111755796474,2.62826277692476
Wallingford,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00963653754185,3.0385351678999197,2.92406657669816,3.0177777777777797,2.9464990787049197,2.7023888963032205,2.95573159366263,2.88461538461538,2.97297297297297,2.98842975206612,3.0374592833876197,3.05792163543441,3.03544273361582,3.00460122699387
Fremont,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9709208400646205,2.8777777777777795,2.99393939393939,2.8669131910506898,2.90666666666667,2.9305354558610697,2.6826923076923097,2.6777251184834103,2.95720399429387,2.9658874550454803,2.9891888099574704,2.95079594790159,2.91265321756895,3.06730769230769,3.19242424242424,3.20784359844168,2.94184168012924,2.85221674876847,2.79187817258883,2.84091332249296,2.94125615763547,2.90989660265879,2.9779411764705896
First Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4559859154929597,2.37649212159796,2.3462301587301604,2.4379172229639505,2.60347129506008,2.4724186704384703,2.66270013351135,2.91035694618273,2.9310344827586206,2.88686822107579,2.76,2.7119999999999997,2.7329623203987903,2.54368932038835,2.65231092436975,2.55863371914419,2.67190755241741,2.72491349480969,2.73842812542419,2.74782608695652,2.7547868378390197,2.7493895364897,2.7338629592850094,2.8028776978417302,2.89565996988429,3.00179211469534,3.05685855009124,3.125,3.00019381015666,3.2309124767225295,2.96296296296296,2.97757847533632,3.13213885778275,2.98109407714965,2.94157608695652,3.11492537313433,2.8457846257260195,3.15789473684211,2.8202995008319505,3.01094890510949,2.8463541666666696,3.06930693069307,2.90590766823161,2.9875373134328402,3.3529411764705896,3.26736694056113,3.26462765957447,3.3242876526458596,3.26335877862595,3.11852746023723,3.10555555555556,2.97704539183223,2.9812942953409998,3.0095917095215805
Belltown,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,2.2704146441047,2.22298660135427,2.20588235294118,2.25035161744022,2.25035161744022,2.1523178807947,2.31297709923664,2.4036850921273,2.3018575851393197,2.30580553426312,2.2615219721328996,2.29140981780753,2.34251968503937,2.4196277495769904,2.2785829307568397,2.17678100263852,2.19271623672231,2.3519213510647003,2.3866090712742998,2.4394679748408197,2.71291108220783,2.7838427947598303,2.69418960244648,2.6796775000791,2.6152570480928703,2.53934756497313,2.6104830421377203,2.59967209407508,2.58496395468589,2.58496395468589,2.57784911717496,2.61383527106886,2.6968253968254,2.63898793605515,2.63245614035088,2.680147801095,2.6056338028169,2.62547709923664,2.6435587761674704,2.65432098765432,2.72541199158485,2.72541199158485,2.7724667694085894,2.8312662578966896,2.90383097123322,2.8632119887194802,2.90130151843818,2.85,2.8459401709401697,2.63803680981595,2.6968253968254,2.7408637873754196,2.8041429423567097,2.87469110678257,2.8816199376947003,2.90674575803559,2.93427230046948,2.9313380281690096,2.69206752074772,2.98496828926777,2.98425196850394,2.85,2.9868613138686095,2.77878787878788,3.02345459236326,3.46622369878184,3.4159651761395895,3.52112676056338,3.2693715434891897,3.2848,3.24392375189107,3.2549504950495,3.1713900134952797,3.1349948078920002,3.11005000515517,3.0406808092018998,3.04347826086957,3.07063991294424,3.18926680116
Ballard,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47506234413965,2.44089012517385,2.50342935528121,2.4163041281057502,2.4281984334203703,2.49166666666667,2.5229885057471297,2.60064412238325,2.5640205915142005,2.56109964866925,2.4918875370510802,2.33895705521472,2.36780417887265,2.48175182481752,2.51322751322751,2.5,2.50661375661376,2.53457942934667,2.60781581740977,2.72144093342044,2.7480314960629904,2.7102526002971805,2.66063977746871,2.66917293233083,2.6635338345864703,2.64701283387733,2.6954285300297003,2.73279352226721,2.7258600379697597,2.71660613397902,2.82185688750363,2.64364886731392,2.82920659014009,2.90850722311396,2.71855418592707,2.7205743879472704,2.4369085173501603,2.6643544274455295,2.74838709677419,2.7340042880153197,2.7920208464372402,2.95330112721417,3.0225352112676096,3.05555555555556,3.09758673329069,3.02501618325712,2.86923963824269,2.84590690208668,2.6581789699334903,2.7111398963730604,2.8041109718741297,2.82034982935154
Lower Queen Anne,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333304,2.46153846153846,2.5575488259820096,2.72117039586919,2.9166666666666696,2.87107362821948,2.95051194539249,2.62757534862798,2.644669365722,2.66602722772277,2.6786324786324798,2.7284268253551502,2.7071428571428595,2.64688721233174,2.51582752506725
Uptown,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17741935483871,2.1978021978022,2.14910313901345,2.26818181818182,2.3032482400799,2.26817042606516,2.26892430278884,2.2589641434262995,2.1978021978022,2.43177537342853,2.47718990658527,2.35844849447168,2.35690305704229,2.45104510451045,2.40131578947368,2.4924942263279397,2.4451219512195097,2.45827633378933,2.46497584541063,2.46497584541063,2.5,2.54710482282136,2.52616443146542,2.5579082556123702,2.55176613885505,2.52403237475131,2.50796429574877,2.46617367470452,2.62056677329068,2.64897438300113,2.6801040312093596,2.78827751196172,2.80464055599797,2.77720403619309,2.75180519897304,2.77912936129885,2.7667682926829302,2.57083333333333,2.59414225941423,2.5311258278145696,2.67045454545455,2.6100628930817598,2.6623033515731898,2.66857142857143,2.8202772366989,2.88142311365807,2.4973432518597205,2.825,2.7213114754098395,2.68279569892473,2.7497194163860796,2.57705146486907,2.8548644338118,3.31216279615294,3.3045977011494303,3.38775510204082,3.3967741935483904,3.4058704453441297,3.2282702628119906,3.2491646940099104,3.47484855288488,3.2703488372093,3.1950819672131097,3.3468784546278596,3.1961592828762697,3.20191158900836,3.32432432432432
Westlake,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29562594268477,3.51724137931034,3.59742647058824,3.55839416058394,3.48275862068966,3.4887248814630802,3.41463414634146,3.4132724081583197,3.5337854969573996,3.53448275862069,3.4340659340659303,3.43256379100851
Denny Triangle,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4150925927378903,2.4051593323217,2.47319034852547,2.8776290630975097,2.9055851063829796,2.9055851063829796,2.78111313868613,2.58290816326531,2.58282524002509,2.58282524002509,2.58290816326531,2.57788019872623,2.5545725832980897,2.58282524002509,2.6915322580645196,2.8176209455011296,2.76190476190476,2.72671850998464,2.79137529137529,2.83096926713948,2.8344585749378197,2.8062015503876,2.6950101070599706,2.71087928464978,2.7492877492877503,2.7525539160045405,3.04588607594937,2.83004435458107,3.14848888350886,3.1588730189786696,3.17460317460317,3.2015873015872995,3.2258064516129,3.3075089392133497,3.33109969473606,3.29292929292929,3.1146572104018904,3.2009571025270294,3.2532046645914603,3.45696481343387,3.4046841932695497,3.2054017990224097,3.26976744186046,3.48199540337453,3.2990506329113902,3.09343434343434,3.38511326860841,3.37682025646599,3.4539835164835204,3.66889632107023,3.71428571428571,3.6434108527131803,3.58011869436202,3.56980351602896,3.7834224598930497,3.78083058170289,3.8037769023614003,3.77467105263158,3.7365928189457596,3.9800569800569803,4.0780487804878,3.89063812881306
South Lake Union,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,1.9018092588495201,1.91904554369144,1.93836430423509,1.9856905145681998,2.0138888888888897,2.0238764044943798,2.00971069617335,2.0441534398874097,2.05734746906667,2.1139888337469,2.1997675114238,2.20785597381342,2.14964181683346,2.1601725424924902,2.2041376961064,2.18674861542618,2.2235142118863,2.2202216066482,2.1938461538461502,2.30422619047619,2.24241887905605,2.22980308969634,2.41317365269461,2.73809523809524,2.68215892053973,2.7441077441077404,2.60534591194969,2.5430038510911404,2.41109530583215,2.55511451928924,2.53681392235609,2.5873015873015897,2.5672949770156004,2.56081946222791,2.5548542079703798,2.6488588051018103,2.4263764404609502,2.4408462571483196,2.6745791442145497,2.69396733884329,2.6826219986920403,2.67308324483736,2.65939280639559,2.6887667367761,2.79915730337079,2.68987341772152,2.65317919075145,2.6697245179063396,2.70703764320786,3.1793478260869596,3.0828041606607206,3.1701030927835,3.22120702129667,3.1098398169336403,3.24615384615385,3.2210147865812404,3.29145728643216,2.9749103942652297,3.1790030632135897,3.13247863247863,3.2795698924731203,3.32339712960609,3.35802565898726,3.34854323380559,3.4251870324189504,3.4051324822134,3.32222222222222,3.23928726961981,3.1648405409594704,3.0777279142149196,3.02646674245547,3.10070671378092,3.05555555555556,3.36806212934488
